,source,target,edge
120,TCZ treatment,mortality,reduce
121,ClinicalTrials.gov,data,processed
122,The World Health Organization,coronavirus disease,declared
123,ClinicalTrials.gov,data,processed
124,subjectivemeasures,psychometrics:1,include
125,ClinicalTrials.gov,data,processed
126,Systemic Sclerosis,multiple organsystems,affect
127,over 50%,psychologicalimpact,found
128,SSc,multipleorgan systems,affect
129,People,hand function,experience
130,SPIN Cohort participants,online assessments uponenrolment,complete
131,linear mixed model,random effectto account,include
132,ClinicalTrials.gov,data,processed
133,ClinicalTrials.gov,data,processed
134,multi - center prospective observational study,20 adult ARDS patients undermechanical ventilation,enroll
135,Contraindication,1,monitoring
136,ClinicalTrials.gov,data,processed
137,ClinicalTrials.gov,data,processed
138,Subject or Subject,one of the following:1,excluded
139,one of the novel coronavirus laboratory test results,positive.3,show
140,ClinicalTrials.gov,data,processed
141,23 foreign countries,new coronavirus pneumoniacases,reported
142,people panicand anxiety,prevention,affected
143,ClinicalTrials.gov,data,processed
144,tohave,trends,presumed tohave
145,Wewill,impact,examine
146,tohave,trends,presumed tohave
147,visitscan,patients,put
148,ClinicalTrials.gov,data,processed
149,Research,use,projectsrequire
150,ClinicalTrials.gov,data,processed
151,ClinicalTrials.gov,data,processed
152,TheINSPIRE ICOPE CARE program,evidence,provide
153,the FrenchPresidential Plan Grand Age,implementation,aligned with
154,TheINSPIRE ICOPE CARE program,self assessment,involves
155,onset,world,change
156,limited availability,control,hindering
157,Thesepatients,Thesepatients health status,lose
158,screening,polar questions,includes
159,ICOPE Monitor,identification andinformed consent,includes
160,score,robustness,indicate
161,Table,sample size calculation,2shows
162,ICOPE Apps,intrinsic capacityassessment,include
163,Frailtyhas,association,shown
164,ClinicalTrials.gov,data,processed
165,ClinicalTrials.gov,data,processed
166,theevaluation,priority,represents
167,ClinicalTrials.gov,data,processed
168,Recent evidence,higher levels,revealed
169,outbreak,publichealth crisis,causes
170,the World HealthOrganization,disease,named
171,Recent evidence,higher VEGF levels,revealed
172,Numerousstudies,key role,confirmed
173,ClinicalTrials.gov,data,processed
174,Obtained,informed consentExclusion,written
175,ClinicalTrials.gov,data,processed
176,ClinicalTrials.gov,qualitative interview data,processed
177,ClinicalTrials.gov,data,processed
178,ClinicalTrials.gov,data,processed
179,The Coronavirus,major influence,has
180,ClinicalTrials.gov,data,processed
181,Scientific societies,treatment modifications,recommended
182,withthe study,clinical impact,evaluates
183,onquality,metastatic colorectal cancer,made
184,Inclusion,digestive tumor Ongoing treatment,proven
185,ClinicalTrials.gov,data,processed
186,ClinicalTrials.gov,data,processed
187,global population andhealth care systems,unprecedented challenges,facing
188,present research proposal,oninflammation,focuses
189,thinningand destructuration,hidden endothelial surface adhesion moleculeslike,reveal
190,Recent advances,theaccurate differentiation,enabled
191,Infectionprevention measures,handhygiene,include
192,Current evidence,increased viability,shown
193,findings,potential,underline
194,pronounced inflammation,pulmonary microbiome,disrupt
195,Visible opposition,verbally orthrough behavior,Criteria:•
196,ClinicalTrials.gov,data,processed
197,ClinicalTrials.gov,data,processed
198,people,risk,increased
199,ClinicalTrials.gov,data,processed
200,studies,"the "" Post-intensive care Syndrome",described
201,ClinicalTrials.gov,data,processed
202,cross - sectional observational multi - centric study,single center internal control study design,utilize
203,purpose,use,compare
204,ClinicalTrials.gov,data,processed
205,the World Health Organisation,COVID-19a pandemic,declared
206,Childhood obesity,health,threatens
207,underlying drivers,manycommon factors,share
208,current evidence,clear dose response effect,shows
209,online KKH Sports Singapore program,4 weekly online sessions,involves
210,investigators,the following aims:1,address
211,ClinicalTrials.gov,data,processed
212,investigateddevice,30 second video,record
213,Subject,informed consent3,provided
214,ClinicalTrials.gov,data,processed
215,ClinicalTrials.gov,data,processed
216,novel coronavirus,international outbreak,caused
217,patients,severe kidneyabnormalities,show
218,ClinicalTrials.gov,data,processed
219,12 patients,ibrutinib,receive
220,Patients,ibrutinib,receive
221,Patients,usual care,receive
222,ClinicalTrials.gov,data,processed
223,study,family members,includes
224,ClinicalTrials.gov,data,processed
225,ClinicalTrials.gov,data,processed
226,Factors,withburnout,associated
227,ClinicalTrials.gov,data,processed
228,The RIsk Stratification,ICU Registry,RegistryCOVID-19
229,Risk stratification,emerging SARS CoV-2 pandemic,foundedduring
230,thatfar,health care systems capacity,exceeded
231,ClinicalTrials.gov,data,processed
232,ClinicalTrials.gov,data,processed
233,Physicalexercise,effects,has
234,ClinicalTrials.gov,data,processed
235,proposed Allo Prime universal viral protection mechanism,vaccination,involves
236,ClinicalTrials.gov,data,processed
237,ClinicalTrials.gov,data,processed
238,article,protocol,presents
239,About 10%,perinatal depression,experience
240,ClinicalTrials.gov,data,processed
241,ClinicalTrials.gov,data,processed
242,patient,supplemental oxygen,requires
243,patient guardian legal representative,written IRB approved informed consentExclusion,signed
244,Platelet,"75,000 mm3",count
245,ClinicalTrials.gov,data,processed
246,related data,infection,confirmed
247,ClinicalTrials.gov,related data,processed
248,Coronavirus,containment,caused
249,ThisDental Surgery questionnaire,16 questions,includes
250,Inclusion,dental surgeons associates volunteers,Criteria:-All
251,ClinicalTrials.gov,data,processed
252,pandemic,health caresystems,affected
253,patients,hydroxychloroquine HCL treatment,receive
254,Groups 1 and 2,patients,admitted
255,ClinicalTrials.gov,data,processed
256,ClinicalTrials.gov,data,processed
257,Inclusion Criteria:-Community dwelling adults,≥,aged
258,ClinicalTrials.gov,data,processed
259,COVID 19 pandemic,healthcare capacity,overwhelmed
260,Component 2- Case control,data elements,studycaptures
261,ClinicalTrials.gov,data,processed
262,Chest CT scan,specificity,alsodemonstrated
263,Voluntary,informed consent,written
264,ClinicalTrials.gov,data,processed
265,ClinicalTrials.gov,data,processed
266,double sampling,direct impact onconventional patient management,has
267,ClinicalTrials.gov,data,processed
268,Inclusion Criteria:-Adolescents,11 18 years old Previous consultation,aged
269,ClinicalTrials.gov,data,processed
270,strategy,highest percentage,conducted to
271,second aim,national perspectives,assess
272,Wewill,survey,administer
273,NIH,surveysfrom,recommended
274,surveys,Psychological StressAssociated,include
275,ClinicalTrials.gov,data,processed
276,investigators,extravascular lung water index,assesswhether
277,ClinicalTrials.gov,data,processed
278,COVID-19)Secondary Objectives:-To,time,evaluate
279,ClinicalTrials.gov,data,processed
280,Findings,future supportive interventions,inform
281,ClinicalTrials.gov,data,processed
282,ClinicalTrials.gov,data,processed
283,Participant,18,aged
284,ClinicalTrials.gov,data,processed
285,ClinicalTrials.gov,data,processed
286,ClinicalTrials.gov,data,processed
287,people,increasedstress,experiencing
288,COVID-19 publichealth crisis,resources,requires
289,Hospitals,visitor restrictions,instituting
290,healthcare changes,OB Gyn patients level,impacting
291,participants,baseline survey,complete
292,ClinicalTrials.gov,data,processed
293,people,increasedstress,experiencing
294,investigators,prospective evaluation,proposea
295,COVID-19 publichealth crisis,resources,requires
296,ClinicalTrials.gov,data,processed
297,"2019-nCoV),medical workers",enormous stress,facing
298,severe situation,mentalhealth problems,causing
299,Gutmicrobiota,brain function,influence
300,brain,gut microbiota trough neuronal andendocrine pathways,influence
301,reseaches,relevance,support
302,ClinicalTrials.gov,data,processed
303,COVID-19 pandemics,lives,changed
304,ClinicalTrials.gov,data,processed
305,Patients,time,seen
306,ClinicalTrials.gov,data,processed
307,ClinicalTrials.gov,data,processed
308,ClinicalTrials.gov,data,processed
309,Favipiravir,anti - viral activity,shown
310,unit,250 mL beer,History of
311,ClinicalTrials.gov,data,processed
312,About 20%,chronic disease,have
313,ClinicalTrials.gov,data,processed
314,Salaried staff,carrying,opposing
315,Underage,staff,salaried
316,ClinicalTrials.gov,data,processed
317,ClinicalTrials.gov,data,processed
318,ClinicalTrials.gov,data,processed
319,ClinicalTrials.gov,data,processed
320,diabetic complications,answers,provide
321,ClinicalTrials.gov,data,processed
322,Inclusion Criteria:-Able,informed consentExclusion Criteria:-None,provide
323,ClinicalTrials.gov,data,processed
324,ClinicalTrials.gov,data,processed
325,ClinicalTrials.gov,data,processed
326,Healthcare professionals,psychological burden,experience
327,ClinicalTrials.gov,data,processed
328,organizations,free access mobile applications,created
329,investigators,random sample,ask
330,ClinicalTrials.gov,data,processed
331,ClinicalTrials.gov,data,processed
332,ClinicalTrials.gov,data,processed
333,ClinicalTrials.gov,data,processed
334,ClinicalTrials.gov,data,processed
335,mandateddirectives,routine daily activities,disruptthe
336,Participants,questionnaires,complete
337,structured questionnaire,coveredseveral areas,consists of
338,Physical symptom variables,fever,included
339,Contacthistory variables,close contact,include
340,"Questions 3, 5",depression subscale,form
341,Questions,anxiety subscale,form
342,18 will,stresssubscale,"Questions 1, 6, 8, 11, 12, 14"
343,ClinicalTrials.gov,data,processed
344,ClinicalTrials.gov,data,processed
345,production,theinflammatory cascade,exacerbate
346,ClinicalTrials.gov,data,processed
347,SARS CoV-2,4 million people,infected
348,Human infections,major human public health threats,pose
349,"with3131,545 deaths",aparticularly high mortality rate,has
350,™ vaccine,Sf9 platform,manufacturedusing
351,ClinicalTrials.gov,data,processed
352,COVID-19 outbreak,public panic,caused
353,rapidly changinginformation,elicitedfear,have
354,people,information,consume
355,indirect exposure,wide range,has
356,Corriganand,important ingredients,identified
357,ClinicalTrials.gov,data,processed
358,Prosocial Behavior,Mental Health Foster Emotional,Safeguard
359,Prosocial Behavior,Mental Health Foster Emotional,Safeguard
360,research teamwill,participants emotional,measure
361,researchers,participants,At
362,research team,experimental effectsusing multiple linear regression,assess
363,models,indicator variables forexperimental conditions,include
364,research team,baseline survey,post
365,meansrespondents,their first three days,finish
366,SPI calculations,optional items.2,exclude
367,respondent,at least half,complete
368,respondent,topic non - sensical non - English responses,provides
369,ClinicalTrials.gov,data,processed
370,case,dates,diagnosed
371,ClinicalTrials.gov,data,processed
372,coronaviruses,high seasonality,exhibited
373,chronic hypovitaminosis D,pulmonary fibrosis,induces
374,biological measures,Social demographic measures,arecollected
375,ClinicalTrials.gov,data,processed
376,ClinicalTrials.gov,data,processed
377,ClinicalTrials.gov,data,processed
378,ClinicalTrials.gov,data,processed
379,Study,800 subjects,randomize
380,Subjectswill,itolizumab,receive
381,ClinicalTrials.gov,data,processed
382,SARS CoV-2,human cells,invades
383,ClinicalTrials.gov,data,processed
384,Mitochondrial Disease,poor growth,cause
385,Participants,questionnaire,complete
386,Participants,blood sample,give
387,Participants,diagnosis,have
388,Supportive evidence,genetic testing,include
389,Laboratory,positive testing,confirmed
390,Participants,diagnosis,have
391,Supportive evidence,genetic testing,include
392,participants,evidence,have
393,Participants,greater 4 kilograms.3,weigh
394,ClinicalTrials.gov,data,processed
395,patients,RT PCR positive nasopharyngeal swab results,hadpositive
396,Hypoxic,Non - severe COVID,intubated
397,ClinicalTrials.gov,data,processed
398,ClinicalTrials.gov,data,processed
399,genetic analysis,new coronavirus,indicated
400,analysis,existence,shows
401,ClinicalTrials.gov,data,processed
402,ClinicalTrials.gov,data,processed
403,questionnaire,arepart,contains
404,ClinicalTrials.gov,data,processed
405,ClinicalTrials.gov,data,processed
406,ClinicalTrials.gov,data,processed
407,emergency confinement measures,impact,tolimit
408,ClinicalTrials.gov,data,processed
409,ClinicalTrials.gov,data,processed
410,control group participants,sentences,unscramble
411,Participants,feedback,get
412,groups,psycho education video,watch
413,ClinicalTrials.gov,data,processed
414,ClinicalTrials.gov,data,processed
415,Randomized Phase,Clinical Trial,IIa
416,Phase,clinical trial,IIa
417,Secondary endpoints,safety,include
418,The United States,2.5 million cases,seen
419,Current data,incubation period,suggest
420,SOC)for,patients,considered in
421,CSA,hyperimmune states,suppresses
422,CSA,coronavirus replication,inhibits
423,Spain,universal relationship,Another study of
424,The PI,thorough discussions,undertaken
425,ClinicalTrials.gov,data,processed
426,ClinicalTrials.gov,data,processed
427,brief verbal survey,confidential questionsregarding basic demographics,entail
428,ClinicalTrials.gov,data,processed
429,Inclusion Criteria:-The selection criteria,staff nurses,working
430,ClinicalTrials.gov,data,processed
431,ClinicalTrials.gov,data,processed
432,Public Health England,ongoing sero prevalence programme,has
433,ClinicalTrials.gov,data,processed
434,ClinicalTrials.gov,data,processed
435,ClinicalTrials.gov,data,processed
436,ClinicalTrials.gov,data,processed
437,ClinicalTrials.gov,data,processed
438,Confinement,lives,changes
439,ClinicalTrials.gov,data,processed
440,the World Health Organization,SARS CoV-2,declared
441,the World Health Organization,coronavirus disease(COVID-19,declared
442,fear,higher rates,causes
443,chloroquine,promise,shown
444,CQ,virus infection,shown
445,ClinicalTrials.gov,data,processed
446,ClinicalTrials.gov,data,processed
447,ClinicalTrials.gov,data,processed
448,T2 patients,spirometry,undergo
449,ClinicalTrials.gov,data,processed
450,prospective randomised open label study,standard clinical care,verses
451,Participants,exit,willstudy
452,ClinicalTrials.gov,data,processed
453,cohort,20 participants,have
454,participants,standard,receive
455,ClinicalTrials.gov,data,processed
456,addition,themechanisms,promotes
457,ClinicalTrials.gov,data,processed
458,ClinicalTrials.gov,data,processed
459,Inclusion,American older adults,Criteria:-African
460,deficit,English,read
461,ClinicalTrials.gov,data,processed
462,Patients,topical antifungals,receiving
463,patients,systemic corticosteroids,using
464,ClinicalTrials.gov,data,processed
465,Danishgovernment,social distancing,recommends
466,factors,thequality,affect
467,newpandemic situation,concerns,cause
468,Patients,cancer treatment,receiving
469,ClinicalTrials.gov,data,processed
470,ClinicalTrials.gov,data,processed
471,ClinicalTrials.gov,data,processed
472,ClinicalTrials.gov,data,processed
473,ClinicalTrials.gov,data,processed
474,global pandemic,atremendous impact,had
475,patients,information,"Further, a better understand on"
476,Patients,functional graft,transplantedwith
477,ClinicalTrials.gov,data,processed
478,Restoringhomeostasis,effective functioning,involves
479,ancillary study,study,complement
480,ClinicalTrials.gov,data,processed
481,ClinicalTrials.gov,data,processed
482,ClinicalTrials.gov,data,processed
483,Patient and/or family,data collection,decline
484,ClinicalTrials.gov,data,processed
485,(SCD,"100,000 people",affects
486,secondary objectives,attitudes,Secondary Objectives
487,opening,fromfourth wave,analyses
488,ClinicalTrials.gov,data,processed
489,tenth woman hasdepressive symptoms,major depression,suffer
490,easilyaccessible eHealth support,fast resource effective care,provide
491,ClinicalTrials.gov,data,processed
492,History,14,pointes
493,ClinicalTrials.gov,data,processed
494,ClinicalTrials.gov,data,processed
495,ClinicalTrials.gov,data,processed
496,Immunocompromised persons,high titers,shed
497,ClinicalTrials.gov,data,processed
498,Doxycycline,specimens,based on
499,ClinicalTrials.gov,data,processed
500,ClinicalTrials.gov,data,processed
501,Caregivers,Technologies,Using
502,Caregivers,Technologies,Using
503,Spanish government,social distancing,hasenforced
504,inadequate access,chronic conditions,aggravate
505,ClinicalTrials.gov,data,processed
506,Disclosure,participants,unblind
507,ClinicalTrials.gov,data,processed
508,Project,impact,studies
509,interventionthat,personalized feedback,provides
510,Peer Resilience Champions,evidence based principles,follow
511,study design,controlled comparison,provides
512,cluster,support,receive
513,the Express Survey,email address,collects
514,the Express Survey,measures,includes
515,Enriched T1 toT6 surveys,about 10-20 minutes,take
516,ClinicalTrials.gov,data,processed
517,depression,effects,increase in
518,Form,socio demographic features,templateincluded
519,ClinicalTrials.gov,data,processed
520,Colorectal cancer patients,19 pandemic,subjected to
521,ClinicalTrials.gov,30 day post operative outcome data,processed
522,Community health workers,emotionalsupport,offer
523,community health workers,psychosocial impact,reduce
524,ClinicalTrials.gov,data,processed
525,Patients,rintatolimod IV,receive
526,ClinicalTrials.gov,data,processed
527,the WorldHealth Organization,COVID-19,declared
528,COVID-19 manifests,respiratory illness,reported
529,Cardiovascular disease,early diagnosis,allow for
530,ClinicalTrials.gov,data,processed
531,ClinicalTrials.gov,data,processed
532,project,data,collect
533,dialysis Patients,Chronic dialysis,Inclusion
534,ClinicalTrials.gov,data,processed
535,subjects,gender,havethe
536,investigators,demand,willassess
537,investigators,information,obtain
538,ClinicalTrials.gov,data,processed
539,Cross-Sectional Observation Telephone Survey Study,Changes,Understand
540,ClinicalTrials.gov,data,processed
541,COVID-19,large number,causes
542,virus,total,caused
543,house,limitation,notleaving
544,approximately45%,recommended level,meet
545,Individuals,healthy diets,report
546,ClinicalTrials.gov,data,processed
547,1 5 women,mentalillness,estimated
548,study,national required dataprotection standards,follow
549,pandemic,fear,causing
550,Pregnant women,mothers,Participants
551,number,minimum group size,estimate
552,study,deception,include
553,online survey,changes,elicit
554,ClinicalTrials.gov,data,processed
555,ClinicalTrials.gov,data,processed
556,ClinicalTrials.gov,data,processed
557,research subjects,online.1,participate
558,Brief demographics,questions,survey
559,Individuals,videos,see
560,individuals,video,see
561,ClinicalTrials.gov,data,processed
562,ClinicalTrials.gov,data,processed
563,ClinicalTrials.gov,data,processed
564,50 ofthem,intensive care,admitted to
565,study,theeffect,investigate
566,"10E9 L,-lymphocyte",0.6,count
567,ClinicalTrials.gov,data,processed
568,Wehave,data,collected
569,Eligibility,patients,150
570,Patients,riskthat,reduced
571,patients,Dexamethasone 4 mg/kg/day,received
572,patients,informed consent,provided
573,ClinicalTrials.gov,data,processed
574,cases,one million,confirmed
575,important relationships,betweeninfection cardiovascular diseases,emerge
576,COVID-19 patients,severe course,have
577,impact,new possible prognostic risk,Explore
578,ClinicalTrials.gov,data,processed
579,Healthy males,≥,aged
580,ClinicalTrials.gov,data,processed
581,ClinicalTrials.gov,data,processed
582,Additional studies,promisingoutcome,shown
583,Secondary factors,evaluation,willinclude
584,ClinicalTrials.gov,data,processed
585,ClinicalTrials.gov,data,processed
586,Evaluation,FHU,the Management of Patients With Inflammatory and Dysimmune Diseases Followed in
587,Evaluation,End,Lock Down
588,ClinicalTrials.gov,data,processed
589,ClinicalTrials.gov,data,processed
590,Physician burnout,significant impact,has
591,virtual delivery platform,proposed intervention,renders
592,ClinicalTrials.gov,data,processed
593,ClinicalTrials.gov,data,processed
594,ClinicalTrials.gov,data,processed
595,Acute Respiratory Tract Infection,adouble blind randomized design comparing supplementation,follow
596,exclusion,upwards adjustment,conducted to
597,ClinicalTrials.gov,data,processed
598,ClinicalTrials.gov,data,processed
599,bindings,dendritic cells,activate
600,TLR7 andTLR8,simple-chain RNA,recognize
601,ClinicalTrials.gov,data,processed
602,Mindfulness,significant results interms,done
603,ClinicalTrials.gov,data,processed
604,dentist,weight,check
605,ClinicalTrials.gov,data,processed
606,ClinicalTrials.gov,data,processed
607,PTX,HR-QoL,improve
608,reduced number,direct cost,decreasethe
609,Introduction Paroxysmal atrial fibrillation,increasedrisk,induce
610,majority,symptoms,have
611,duration andfrequencies,patient suffering,causes
612,andan,risk,increased
613,willparticipation,symptoms,allowed to
614,Study,multi centre randomised controlled trial Patients,design
615,ClinicalTrials.gov,data,processed
616,Studies,demonstratedthe systemic local effects,have
617,ClinicalTrials.gov,data,processed
618,Preliminary evidence,worse outcomes,suggests
619,Preliminary evidence,worse outcomes,suggests
620,ClinicalTrials.gov,data,processed
621,Brazilian Multicenter Study,information,provide
622,ClinicalTrials.gov,data,processed
623,Respiratory infection,mechanical ventilation,require
624,Patient,over 18 years,aged
625,ClinicalTrials.gov,data,processed
626,patients.-Patients,immunomodulators,Acute Respiratory Distress Syndrome
627,ClinicalTrials.gov,data,processed
628,purpose,presence,detect
629,ClinicalTrials.gov,data,processed
630,ClinicalTrials.gov,data,processed
631,second,sera,collect
632,second,sera,collect
633,ClinicalTrials.gov,data,processed
634,ClinicalTrials.gov,data,processed
635,110 mmHg Patient,history,reported
636,ClinicalTrials.gov,data,processed
637,ClinicalTrials.gov,data,processed
638,large epidemic,available hospital capacity,challengethe
639,participants,participants treatment allocation,receive
640,allhealth care providers,information,performed to
641,Data,medical history,includes
642,Data,eligibility confirmation,includes
643,participants,unsolicited AEs,report
644,individual,s41586,found in
645,participants,symptoms,be
646,exclusion category,subjects,subjects with
647,ClinicalTrials.gov,data,processed
648,Virtual Eye Movement Desensitisation,Psychological Outcome,Improve
649,patients,related critical illness,survived
650,Eye-Movement Desensitisation,incidence,reduced
651,Small studies,Small studies,shown
652,ClinicalTrials.gov,data,processed
653,research,plaque reductionneutralizing test,conduct
654,Investigators,approximately 10 patients,enroll
655,convalescent plasma,cell infected virus,neutralize
656,recipients,eligibility criteria,enrolled
657,Investigators,mean difference,find
658,Investigators,potential expected andtheoretical risks,weighing
659,donor,plasmadraw,revoke
660,ClinicalTrials.gov,data,processed
661,ClinicalTrials.gov,data,processed
662,Modelling,strategies,informing
663,Blood,Nasal,samples
664,ClinicalTrials.gov,data,processed
665,Informed Consent Forms,patients,forenrolled
666,screening visit,includemedical history,will
667,Daily safety labs,CBC chemistry panel,include
668,Patients,follow visits,have
669,visitsmay,place,take
670,patient,ability,has
671,Chronic liver failure,exclusion criterion,tests not
672,ClinicalTrials.gov,data,processed
673,ClinicalTrials.gov,data,processed
674,DESIGN,clinical trial,randomized
675,ClinicalTrials.gov,data,processed
676,The World Health Organization,comprehensive guidelines underscoringpersonal hygiene measures,presented
677,ClinicalTrials.gov,data,processed
678,Patients,special demographic characteristics,have
679,patient,morethan 120 kg,increased
680,ClinicalTrials.gov,data,processed
681,studies,potential role,indicated
682,Hydroxychloroquine,potentinhibition,demonstrated
683,approximately 50%,form,currentlyreceiving
684,smallstudies,potential role,indicated
685,OSF Data Analytics,reports,inflammatories
686,Study staff,highest degree,maintain
687,ClinicalTrials.gov,data,processed
688,SOC,provider,treating
689,ClinicalTrials.gov,data,processed
690,patients,care,taken
691,ClinicalTrials.gov,data,processed
692,High flow nasal cannula,intubation,prevent
693,SpO2 FiO2,consent.-Beneficiary,equivalent).-Informed
694,ClinicalTrials.gov,data,processed
695,the MGH,outpatient testing,began
696,Managers,necessary team structures andmedian salaries,shared
697,actual worldwide context,stressful factor,isa
698,causes,lengh,Assess
699,ClinicalTrials.gov,data,processed
700,ClinicalTrials.gov,data,processed
701,ClinicalTrials.gov,data,processed
702,source population,patients,represents
703,ClinicalTrials.gov,data,processed
704,use,important advantages,has
705,conditions,it).-<48 hours,sought
706,ClinicalTrials.gov,data,processed
707,Exclusion CriteriaThe volunteer,open label non - randomized clinical trial study,enter
708,ClinicalTrials.gov,data,processed
709,Pan et al,fibrous stripes,observed
710,ClinicalTrials.gov,data,processed
711,progressive endothelial thromboinflammatory syndrome,themicrovascular bed,involve
712,someinvestigators,patients,reported
713,participating center,separate computer generated randomizationschedule,has
714,Contrast CT,positive,scan
715,arterial venous malformations,veins,esophageal
716,ClinicalTrials.gov,data,processed
717,VPM1002 vaccination,partial protection,assumed
718,total,single dose,receive
719,Theinvestigators,outcome safety data,review
720,ClinicalTrials.gov,data,processed
721,children,clinical consequences,present
722,children,clinical consequences,present
723,V4).Main analyses,analyses,comprise
724,ClinicalTrials.gov,data,processed
725,HCQ,efficacyagainst SARS CoV-1,has
726,reported effects,suppressionof fungi,include
727,neitheragent,consistent efficacy,demonstrated
728,Anunderpowered n=30 study,clinical benefit,demonstrateany
729,long history ofclinical failure,low probability,suggests
730,patients,access,is
731,ClinicalTrials.gov,data,processed
732,Patients,emergency department,visiting
733,ClinicalTrials.gov,data,processed
734,ClinicalTrials.gov,data,processed
735,virus,theirgenome,is
736,Thecoronavirus surface protein spike,entry,mediates
737,CoV-2-S protein,2,utilizes
738,ClinicalTrials.gov,data,processed
739,histology,non pancreatic3,showed
740,ClinicalTrials.gov,data,processed
741,ClinicalTrials.gov,data,processed
742,COVID-19 Pandemic,new challenges,brought
743,reminders,incase,send
744,ClinicalTrials.gov,data,processed
745,ClinicalTrials.gov,data,processed
746,"2,3 COVID-19pandemic",services.4,affected
747,reduction,anincrease,cause
